"Số VB","Ngày VB","Ngày đến","Cơ quan gửi","Loại việc","Nội dung hồ sơ DN","Mã số DN","Nội dung","Thời hạn","Phụ trách 1","Phụ trách 2","Trạng thái","Tiến độ %","Ghi chú tiến độ","Kết quả","Mức độ"
"10133","14/09/2026","15/09/2026","Vụ Pháp chế","Góp ý dự thảo","","","lấy ý kiến góp ý hồ sơ dự thảo Thông tư bãi bỏ một số văn bản QPPL do Bộ trưởng Bộ Nội vụ ban hành, liên tịch ban hành","25/09/2026","Lê Hoàng Hà","","Mới","0","","",""
"04/CV-CT","14/09/2026","18/09/2026","Công ty Bimexco","Doanh nghiệp","Cập nhật thông tin DN","0200819117","Đề nghị tất toán tài khoản ký quỹ","25/09/2026","Đặng Thành Trung","","Đang xử lý","80","Đã trình Bộ","",""
"53/CV-SGTV26","16/09/2026","21/09/2026","Công ty Saigon Thiên Vương","Cập nhật thông tin doanh nghiệp","","0316198557","Hồ sơ đề nghị đổi Giấy phép (lưu ý GP đã cấp theo Luật 69)","28/09/2026","Phạm Phương Thảo","","Đang xử lý","0","","",""
"03/HP","14/09/2026","21/09/2026","Công ty cổ phần Đầu tư xây dựng quốc tế Hoàng Phát","Cập nhật thông tin doanh nghiệp","","0108959634","Đề nghị cấp đổi Giấy phép","28/09/2026","Nguyễn Quốc Khánh","","Đang xử lý","0","","",""
"1480/CV-CNQM-DVKH","14/09/2026","18/09/2026","Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Quang Minh","Văn bản đến","","","Xin ý kiến về việc rút tiền ký quỹ (dịch vụ việc làm không phải hoạt động người lao động đi làm việc ở nước ngoài)","29/09/2026","Đặng Thành Trung","","Đang xử lý","0","","",""
"150926/CV-GPLUS","18/09/2026","22/09/2026","Công ty cổ phần nhân lực quốc tế G Plus","Doanh nghiệp","Cập nhật thông tin DN","0108800682","Đề nghị tất toán tài khoản ký quỹ của Chi nhánh","29/09/2026","Đặng Thành Trung","","Đang xử lý","80","Đã trình Bộ","",""
"586/Alsimexco","17/09/2026","18/09/2026","Công ty TNHH MTV Cung ứng và XNK lao động Alsimexco","Cập nhật thông tin doanh nghiệp","","0110229360","Đề nghị điều chỉnh thông tin người đại diện theo pháp luật trên Giấy phép: Đỗ Anh Tuấn -> Tạ Thiên Long","29/09/2026","Nguyễn Quốc Khánh","","Đang xử lý","0","","",""
"70/2026/CV-INCOMEX","17/09/2026","22/09/2026","Công ty cổ phần Đầu tư nhân lực Thương mại XNK Sài Gòn","Cập nhật thông tin doanh nghiệp","","0310057052","Nộp lại Giấy phép hoạt động dịch vụ đưa người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng","29/09/2026","Nguyễn Hà Linh","","Đang xử lý","0","","",""
"10133","14/09/2026","15/09/2026","Vụ Pháp chế","Góp ý dự thảo","","","V/v lấy ý kiến góp ý hồ sơ dự thảo Thông tư bãi bỏ một số văn bản QPPL do Bộ trưởng Bộ Nội vụ ban hành, liên tịch ban hành","30/09/2026","Phạm Phương Thảo","","Đang xử lý","0","","",""
"1356","17/09/2026","22/09/2026","Vụ Kế hoạch - Tài chính","Báo cáo","","","V/v rà soát, đánh giá tình hình thực hiện Luật Phí và lệ phí","05/10/2026","Phạm Phương Thảo","Lê Hoàng Hà","Mới","0","","",""
"","—","22/09/2026","","Cập nhật thông tin doanh nghiệp","","0109716779","Hồ sơ đề nghị cấp đổi Giấy phép","—","Nguyễn Quốc Khánh","","Đang xử lý","0","","",""
